Date,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
2020-08-10,212403600,63346000,25786000,14989900,11888000,36716500,427796000,19964552,112834500,24367800,4327920000
2020-08-11,187902400,74362000,29088000,31518600,16531600,36446500,354512000,21326847,129387000,28987500,4880540000
2020-08-12,165598000,70442000,28740000,19240800,9562200,28013100,464412000,19957595,327441000,22503200,3772250000
2020-08-13,210082000,62980000,29104000,13598600,9882900,22588900,374460000,15340021,306379500,17338700,3438730000
2020-08-14,165565200,55034000,27096000,12134400,10075800,17958900,366436000,12901276,188664000,13595700,3200060000
2020-08-17,119561600,53824000,27566000,14988000,9102400,20184800,621300000,17494187,303634500,15554600,3460330000
2020-08-18,105633600,106920000,40542000,13246500,9829000,21336200,503448000,10846398,247117500,13014000,3669550000
2020-08-19,145538000,83702000,33212000,13533000,17371000,27627600,622624000,15690055,183079500,14473100,3679480000
2020-08-20,126907200,66650000,34138000,13672600,11308700,26981500,921388000,21957455,309177000,15678500,3431040000
2020-08-21,338054800,71518000,28930000,12228300,14734100,36249300,999868000,25467170,322344000,25517700,3505010000
2020-08-24,345937600,93326000,28198000,17898300,9257700,25460100,490564000,25011947,300954000,18208900,3743410000
2020-08-25,211495600,79856000,44942000,13648900,7827800,23043700,289076000,26221201,159883500,31285600,3627650000
2020-08-26,163022400,130174000,79868000,12052400,10124200,39600800,321244000,24083689,213591000,26795000,3780530000
2020-08-27,155552400,85296000,37232000,22163900,10931600,57602200,317604000,22156556,355395000,32034300,3955890000
2020-08-28,187630000,57940000,29980000,13756700,16420300,26292900,537160000,32830519,301218000,33477100,3868510000
2020-08-31,225702700,83718000,36468000,14219400,18510800,28774200,500840000,30032465,355123200,25259600,4348280000
2020-09-01,151948100,68644000,36506000,11595600,12588400,25725500,511316000,36145560,269523300,22464100,4101490000
2020-09-02,200119000,78630000,50224000,14475700,26332600,34080800,874012000,29068688,288528300,26413400,4295640000
2020-09-03,257599600,163222000,62156000,23281200,22289400,58400300,945128000,35956788,262788300,28817200,4911830000
2020-09-04,332607200,175636000,52172000,26325500,21019500,59664100,1463684000,26872257,330965700,24632500,4438720000
2020-09-08,231366600,121884000,52218000,22108600,17776700,52924300,795728000,26736818,346397100,38496400,4694330000
2020-09-09,176940500,103774000,35494000,13434000,15252300,45679000,736200000,27490533,238397400,25886100,3932520000
2020-09-10,182274400,106614000,32372000,15922800,15439500,35461500,698684000,21650741,254791800,34381200,4208630000
2020-09-11,180860300,101880000,31942000,13784300,18272300,33620100,636928000,24109301,182152500,26838600,3710090000
2020-09-14,140150100,90592000,33932000,19017400,10911700,30375800,1201744000,29565543,249061800,26129900,3839580000
2020-09-15,184642000,80430000,26622000,23683000,12838400,21823900,727556000,22003726,291894600,23724200,4057190000
2020-09-16,154679000,90244000,26234000,19270600,15353900,26328100,556384000,22208412,216837900,30890900,4718900000
2020-09-17,178011000,128982000,37596000,18290100,13287100,34011300,792512000,17894390,230337600,24696200,4379840000
2020-09-18,287104900,177852000,62078000,20121600,23816600,55225300,698460000,31694623,259220400,46853800,7076400000
2020-09-21,195713800,122358000,57776000,28378800,17514800,39839700,721044000,26608968,328430400,35351800,4836070000
2020-09-22,183055400,138976000,31664000,19257000,13034600,33517100,646452000,22727297,238742400,27303200,3974510000
2020-09-23,150718700,113054000,33148000,19952700,17121200,30803800,647012000,23102521,285222600,31251400,4378650000
2020-09-24,167743300,110588000,29004000,18366500,16788100,31202500,731240000,20859925,289683300,26796000,4601920000
2020-09-25,149981400,92304000,26460000,13293100,12603400,29437300,588016000,14365598,201625500,23486000,3803330000
